season,player_id,player,team,age,experience,games,games_started,minutes,per,true_shooting,usage_rate,bpm,vorp,win_shares,ws_per_48,obpm,dbpm,reb_rate,ast_rate,stl_rate,blk_rate,tov_rate,three_pt_rate,team_pace,team_wins,team_season_key,minutes_per_game,qualified
1997,chilcpe01,Pete Chilcutt,VAN,28.0,6,54,1.0,662.0,14.5,0.521,14.2,0.2,0.4,1.1,0.08,0.7,-0.5,13.7,11.8,2.1,2.0,13.8,0.418,88.4,14.0,VAN_1997,12.3,0
1997,childch01,Chris Childs,NYK,29.0,3,65,61.0,2076.0,11.2,0.526,16.8,-0.3,0.9,3.9,0.091,-1.4,1.0,5.5,30.7,2.0,0.4,23.8,0.355,90.5,57.0,NYK_1997,31.9,1
1997,childra01,Randolph Childress,2TM,24.0,2,23,0.0,155.0,4.5,0.448,18.3,-6.2,-0.2,-0.2,-0.054,-6.4,0.2,2.3,16.6,3.1,0.0,29.3,0.475,,,2TM_1997,6.7,0
1997,chrisdo01,Doug Christie,TOR,26.0,5,81,81.0,3127.0,15.1,0.543,18.4,1.7,2.9,7.0,0.107,0.0,1.7,8.1,16.7,3.4,1.1,15.6,0.404,90.6,30.0,TOR_1997,38.6,1
1997,colemde01,Derrick Coleman,PHI,29.0,7,57,54.0,2102.0,17.3,0.518,23.7,0.7,1.5,3.3,0.076,0.8,-0.1,14.9,15.7,1.2,2.6,15.6,0.142,95.3,22.0,PHI_1997,36.9,1
1997,colesbi01,Bimbo Coles,GSW,28.0,7,51,13.0,1183.0,9.5,0.463,14.9,-3.2,-0.3,0.5,0.019,-2.0,-1.2,5.9,19.4,1.5,0.5,15.0,0.325,91.9,30.0,GSW_1997,23.2,1
1997,conloma01,Marty Conlon,BOS,29.0,6,74,15.0,1614.0,12.8,0.542,17.0,-3.1,-0.5,1.8,0.053,-1.5,-1.6,11.5,10.1,1.4,0.8,17.1,0.022,95.8,15.0,BOS_1997,21.8,1
1997,corbity01,Tyrone Corbin,ATL,34.0,12,70,65.0,2305.0,11.0,0.514,15.0,-0.4,1.0,5.0,0.104,-1.4,1.0,7.6,9.0,2.2,0.2,11.6,0.347,86.8,56.0,ATL_1997,32.9,1
1997,courtjo01,Joe Courtney,2TM,27.0,4,9,0.0,100.0,3.8,0.388,15.7,-10.9,-0.2,-0.1,-0.059,-6.1,-4.8,9.1,0.0,0.0,0.0,8.5,0.0,,,2TM_1997,11.1,0
1997,crottjo01,John Crotty,MIA,27.0,5,48,0.0,659.0,14.3,0.637,16.0,0.1,0.3,2.4,0.176,-0.2,0.3,4.2,26.1,1.5,0.0,18.7,0.318,88.2,61.0,MIA_1997,13.7,0
1997,cummite01,Terry Cummings,SEA,35.0,15,45,3.0,828.0,15.2,0.521,22.1,-2.0,0.0,2.1,0.121,-1.3,-0.7,13.3,8.3,2.1,0.7,11.2,0.016,90.3,57.0,SEA_1997,18.4,0
1997,curetea01,Earl Cureton,TOR,39.0,12,9,0.0,46.0,4.9,0.376,10.0,-5.9,0.0,0.0,0.026,-5.0,-0.9,11.5,13.1,0.0,0.0,9.7,0.0,90.6,30.0,TOR_1997,5.1,0
1997,curryde01,Dell Curry,CHH,32.0,11,68,20.0,2078.0,15.0,0.561,22.5,0.0,1.0,3.8,0.089,1.2,-1.2,6.1,10.0,1.6,0.5,9.4,0.354,88.6,54.0,CHH_1997,30.6,1
1997,currymi01,Michael Curry,DET,28.0,3,81,2.0,1217.0,10.4,0.592,12.1,-0.9,0.3,3.2,0.126,-1.7,0.8,6.1,5.6,1.4,0.8,9.4,0.348,84.5,54.0,DET_1997,15.0,1
1997,dampier01,Erick Dampier,IND,21.0,1,72,21.0,1052.0,11.8,0.451,21.7,-3.7,-0.4,0.9,0.04,-4.4,0.7,16.7,6.9,1.0,5.6,17.0,0.003,89.0,39.0,IND_1997,14.6,1
1997,daniell01,Lloyd Daniels,2TM,29.0,4,22,0.0,310.0,8.3,0.403,18.8,-3.5,-0.1,0.0,0.001,-2.0,-1.5,7.6,13.1,1.7,0.7,10.3,0.588,,,2TM_1997,14.1,0
1997,danilsa01,Sasha Danilović,2TM,26.0,2,56,42.0,1789.0,10.9,0.552,19.6,-1.0,0.5,2.8,0.074,-1.3,0.3,4.5,10.0,1.6,0.4,15.4,0.414,,,2TM_1997,31.9,1
1997,dareyi01,Yinka Dare,NJN,24.0,3,41,2.0,313.0,7.2,0.406,12.4,-7.0,-0.4,-0.1,-0.014,-6.7,-0.3,14.2,1.4,0.7,6.7,23.0,0.0,92.4,26.0,NJN_1997,7.6,0
1997,davisan01,Antonio Davis,IND,28.0,4,82,28.0,2335.0,13.8,0.536,18.6,-1.3,0.4,5.2,0.106,-1.4,0.1,15.3,4.8,1.0,2.9,15.0,0.022,89.0,39.0,IND_1997,28.5,1
1997,davisbe01,Ben Davis,PHO,24.0,1,20,0.0,98.0,9.4,0.417,17.4,-6.6,-0.1,0.1,0.037,-4.4,-2.2,16.1,0.0,2.1,0.8,7.9,0.0,93.2,40.0,PHO_1997,4.9,0
