player,team,age,mp,per,pred_2027,delta,direction,age_group,tier
Jaylon Tyson,CLE,23.0,1777.0,14.8,14.669,-0.131,Hold,<=24,Bench
Jordan Miller,LAC,26.0,1325.0,15.9,14.667,-1.233,Fall,25-27,Bench
Ayo Dosunmu,2TM,26.0,1881.0,16.5,14.662,-1.838,Fall,25-27,Bench
Peyton Watson,DEN,23.0,1598.0,14.3,14.624,0.324,Hold,<=24,Bench
Anthony Black,ORL,22.0,1910.0,13.7,14.59,0.89,Rise,<=24,Bench
Andrew Nembhard,IND,26.0,1786.0,15.7,14.436,-1.264,Fall,25-27,Bench
Wendell Carter Jr.,ORL,26.0,2288.0,14.1,14.421,0.321,Hold,25-27,Bench
Gui Santos,GSW,23.0,1395.0,14.2,14.415,0.215,Hold,<=24,Bench
Zach LaVine,SAC,30.0,1224.0,14.7,14.389,-0.311,Hold,28-30,Bench
Dominick Barlow,PHI,22.0,1689.0,13.2,14.387,1.187,Rise,<=24,Bench
Jrue Holiday,POR,35.0,1560.0,16.4,14.373,-2.027,Fall,31+,Bench
Myles Turner,MIL,29.0,1912.0,14.2,14.363,0.163,Hold,28-30,Bench
Naji Marshall,DAL,28.0,2184.0,15.4,14.347,-1.053,Fall,28-30,Bench
Grayson Allen,PHO,30.0,1467.0,16.1,14.338,-1.762,Fall,28-30,Bench
Isaiah Joe,OKC,26.0,1507.0,15.5,14.237,-1.263,Fall,25-27,Bench
CJ McCollum,2TM,34.0,2264.0,15.9,14.174,-1.726,Fall,31+,Bench
Danny Wolf,BRK,21.0,1187.0,12.3,14.168,1.868,Rise,<=24,Bench
Craig Porter Jr.,CLE,25.0,1148.0,13.7,14.155,0.455,Hold,25-27,Bench
Andrew Wiggins,MIA,30.0,2063.0,15.1,14.019,-1.081,Fall,28-30,Bench
Mikal Bridges,NYK,29.0,2692.0,15.3,14.0,-1.3,Fall,28-30,Bench
Anfernee Simons,2TM,26.0,1372.0,14.4,13.907,-0.493,Hold,25-27,Bench
Devin Vassell,SAS,25.0,2044.0,13.0,13.901,0.901,Rise,25-27,Bench
Oso Ighodaro,PHO,23.0,1808.0,13.8,13.891,0.091,Hold,<=24,Bench
Kyshawn George,WAS,22.0,1391.0,13.8,13.84,0.04,Hold,<=24,Bench
Bilal Coulibaly,WAS,21.0,1468.0,13.5,13.836,0.336,Hold,<=24,Bench
Malik Monk,SAC,27.0,1364.0,14.2,13.816,-0.384,Hold,25-27,Bench
