player,team,age,mp,per,pred_2027,delta
Miles McBride,NYK,25.0,1080.0,13.1,12.293873161730717,-0.8061268382692823
Kevin Huerter,2TM,27.0,1549.0,13.2,12.29147323226411,-0.9085267677358893
Ryan Dunn,PHO,23.0,1355.0,11.7,12.269601482044578,0.5696014820445789
Caleb Love,POR,24.0,1013.0,10.7,12.247866674266254,1.5478666742662543
Dennis Schröder,2TM,32.0,1697.0,12.9,12.219671852556818,-0.6803281474431824
Jaylen Wells,MEM,22.0,1821.0,11.5,12.206663943874586,0.7066639438745863
Luke Kennard,2TM,29.0,1681.0,13.5,12.20633840490739,-1.29366159509261
Ja'Kobe Walter,TOR,21.0,1474.0,11.8,12.19350658504414,0.3935065850441397
Kelly Oubre Jr.,PHI,30.0,1574.0,13.0,12.190030722855145,-0.8099692771448552
Ousmane Dieng,2TM,22.0,1099.0,10.2,12.14781685440624,1.9478168544062413
Gradey Dick,TOR,22.0,1067.0,10.7,12.142353701189526,1.4423537011895267
Taylor Hendricks,2TM,22.0,1118.0,12.2,12.136578239321738,-0.06342176067826166
Simone Fontecchio,MIA,30.0,1173.0,13.8,12.13020321411529,-1.66979678588471
Rui Hachimura,LAL,27.0,1927.0,11.6,12.126857832780502,0.526857832780502
Caris LeVert,DET,31.0,1154.0,10.9,12.065577512176658,1.1655775121766574
Jose Alvarado,2TM,27.0,1370.0,12.1,12.064461470056939,-0.03553852994306084
Sam Merrill,CLE,29.0,1377.0,13.6,12.041244316580165,-1.5587556834198342
Ziaire Williams,BRK,24.0,1281.0,12.4,11.985435358354817,-0.4145646416451836
Hugo González,BOS,19.0,1084.0,10.2,11.978811388903011,1.7788113889030122
Toumani Camara,POR,25.0,2731.0,11.3,11.970126256098188,0.6701262560981878
Tristan Da Silva,ORL,24.0,1899.0,12.0,11.945359225691282,-0.05464077430871761
Max Christie,DAL,22.0,2244.0,11.0,11.939632027085105,0.9396320270851053
Davion Mitchell,MIA,27.0,2000.0,12.1,11.9291092465043,-0.1708907534956996
Brook Lopez,LAC,37.0,1635.0,12.3,11.882646534811633,-0.41735346518836813
Jamir Watkins,WAS,24.0,1032.0,11.8,11.866531511104036,0.06653151110403499
Jordan Clarkson,NYK,33.0,1279.0,11.6,11.8539558270428,0.25395582704279995
Walter Clayton,2TM,22.0,1410.0,10.3,11.815762604687224,1.5157626046872235
Aaron Nesmith,IND,26.0,1335.0,10.8,11.812388152177782,1.012388152177781
Sam Hauser,BOS,28.0,1934.0,11.9,11.7394984482767,-0.16050155172329994
Bub Carrington,WAS,20.0,2271.0,9.9,11.686034835687202,1.786034835687202
Jamal Shead,TOR,23.0,1852.0,10.5,11.667515745452988,1.167515745452988
Baylor Scheierman,BOS,25.0,1429.0,11.6,11.583393694411544,-0.016606305588455328
Guerschon Yabusele,2TM,30.0,1007.0,11.1,11.536948376947613,0.4369483769476137
Will Richard,GSW,23.0,1377.0,11.0,11.47543286290287,0.47543286290287057
Kobe Sanders,LAC,23.0,1351.0,10.0,11.338403865146693,1.3384038651466934
Keon Ellis,2TM,26.0,1478.0,10.8,11.311865281817335,0.5118652818173342
Vít Krejčí,2TM,25.0,1392.0,11.1,11.248980064985108,0.14898006498510874
Bruce Brown,DEN,29.0,1998.0,10.8,11.248886173140203,0.4488861731402025
Nolan Traoré,BRK,19.0,1243.0,7.9,11.236821899532922,3.3368218995329215
Duncan Robinson,DET,31.0,2113.0,12.4,11.150355822492628,-1.2496441775073723
Cody Williams,UTA,21.0,1631.0,9.6,11.118639255841614,1.5186392558416149
Josh Okogie,HOU,27.0,1354.0,9.9,11.105427437981149,1.2054274379811485
Nique Clifford,SAC,23.0,1882.0,9.0,10.91659321822268,1.9165932182226797
Harrison Barnes,SAS,33.0,1986.0,11.8,10.914030879507294,-0.8859691204927067
Kris Dunn,LAC,31.0,2230.0,11.3,10.905488528277354,-0.39451147172264633
Marcus Smart,LAL,31.0,1769.0,9.9,10.890431322945322,0.9904313229453212
Tim Hardaway Jr.,DEN,33.0,2127.0,13.5,10.866747880154353,-2.633252119845647
Isaac Okoro,CHI,25.0,1695.0,9.8,10.82884548810475,1.02884548810475
Draymond Green,GSW,35.0,1869.0,10.4,10.72758230428494,0.32758230428493995
Rayan Rupert,2TM,21.0,1072.0,8.2,10.702818113409187,2.5028181134091874
Terance Mann,BRK,29.0,1529.0,10.2,10.655767318039638,0.4557673180396389
Landry Shamet,NYK,28.0,1171.0,11.2,10.566775875574063,-0.6332241244259365
Herbert Jones,NOP,27.0,1588.0,9.1,10.523185151039215,1.423185151039215
Klay Thompson,DAL,35.0,1497.0,11.4,10.452428836424946,-0.9475711635750539
Royce O'Neale,PHO,32.0,2213.0,11.6,10.42794341683987,-1.1720565831601295
Kentavious Caldwell-Pope,MEM,32.0,1088.0,11.0,10.422199184053488,-0.577800815946512
Sidy Cissoko,POR,21.0,1435.0,7.1,10.387249367263157,3.2872493672631578
Dean Wade,CLE,29.0,1318.0,10.9,10.34761680870595,-0.5523831912940498
Ben Sheppard,IND,24.0,1390.0,9.7,10.300975363113377,0.6009753631133776
Svi Mykhailiuk,UTA,28.0,1156.0,11.4,10.23747356642873,-1.162526433571271
Kris Murray,POR,25.0,1333.0,9.6,10.21188713750854,0.6118871375085408
Patrick Williams,CHI,24.0,1474.0,8.2,10.202791865699204,2.002791865699205
Spencer Jones,DEN,24.0,1417.0,9.3,10.13668408954991,0.8366840895499088
Sion James,CHO,23.0,1843.0,8.3,10.09506716471293,1.795067164712929
A.J. Green,MIL,26.0,2270.0,9.4,9.834151477572028,0.4341514775720281
Luguentz Dort,OKC,26.0,1849.0,8.3,9.748404599858874,1.4484045998588737
Drake Powell,BRK,20.0,1320.0,7.3,9.434308145923183,2.1343081459231827
Gary Trent Jr.,MIL,27.0,1377.0,8.0,9.403883324431956,1.4038833244319555
Nicolas Batum,LAC,37.0,1295.0,8.4,7.780746969534624,-0.6192530304653765
